male?,age_from,inactive_ratio
TRUE,15,0.8468431771894094
TRUE,20,0.8254925613188581
TRUE,25,0.742798353909465
TRUE,30,0.6915695681973955
TRUE,35,0.7166666666666667
TRUE,40,0.7294797687861272
TRUE,45,0.7473429951690821
TRUE,50,0.7678940835746794
TRUE,55,0.7890979883192731
TRUE,60,0.8513588463671657
FALSE,15,0.8392120934493816
FALSE,20,0.8332974833297483
FALSE,25,0.8031651829871415
FALSE,30,0.8294522794358806
FALSE,35,0.8446479317966531
FALSE,40,0.8528225806451613
FALSE,45,0.8217673489765353
FALSE,50,0.8629067245119306
FALSE,55,0.8860887096774194
FALSE,60,0.9378421532846715
