work_status,gender,wealth,rate
1,TRUE,1,0.4
2,TRUE,1,0.216666666666667
3,TRUE,1,0.233333333333333
4,TRUE,1,0.1
5,TRUE,1,0.05
1,FALSE,1,0.238578680203046
2,FALSE,1,0.208121827411168
3,FALSE,1,0.294416243654822
4,FALSE,1,0.137055837563452
5,FALSE,1,0.121827411167513
1,TRUE,2,0.308510638297872
2,TRUE,2,0.180851063829787
3,TRUE,2,0.276595744680851
4,TRUE,2,0.148936170212766
5,TRUE,2,0.0851063829787234
1,FALSE,2,0.230769230769231
2,FALSE,2,0.230769230769231
3,FALSE,2,0.307692307692308
4,FALSE,2,0.0769230769230769
5,FALSE,2,0.153846153846154
1,TRUE,3,0.136363636363636
2,TRUE,3,0.136363636363636
3,TRUE,3,0.393939393939394
4,TRUE,3,0.121212121212121
5,TRUE,3,0.212121212121212
1,FALSE,3,0.0408163265306122
2,FALSE,3,0.163265306122449
3,FALSE,3,0.204081632653061
4,FALSE,3,0.26530612244898
5,FALSE,3,0.326530612244898
1,TRUE,4,0
2,TRUE,4,0.125
3,TRUE,4,0.15625
4,TRUE,4,0.28125
5,TRUE,4,0.4375
1,FALSE,4,0
2,FALSE,4,0.0833333333333333
3,FALSE,4,0.0833333333333333
4,FALSE,4,0.25
5,FALSE,4,0.583333333333333
1,TRUE,5,-
2,TRUE,5,-
3,TRUE,5,-
4,TRUE,5,-
5,TRUE,5,-
1,FALSE,5,-
2,FALSE,5,-
3,FALSE,5,-
4,FALSE,5,-
5,FALSE,5,-
